topic_title,topic_url,total_posts,agree,disagree,mixed,unknown_stance,positive_posts,negative_posts,neutral_posts,unknown_sentiment_posts,topic_sentiment_final
"Edgepark, Medicare and Tricare 4 Life",https://www.uoaa.org/forum/viewtopic.php?t=27701,2,0,0,0,2,0,1,1,0,neutral
Okay my new improved otosmy method,https://www.uoaa.org/forum/viewtopic.php?t=27688,4,3,0,0,1,1,2,1,0,positive
"It's been 9 days, same bag, any long-term issues?",https://www.uoaa.org/forum/viewtopic.php?t=27669,1,0,0,0,1,0,1,0,0,positive
Ostomy Bag leakage,https://www.uoaa.org/forum/viewtopic.php?t=27702,1,1,0,0,0,1,0,0,0,negative
Noise control,https://www.uoaa.org/forum/viewtopic.php?t=26790,3,2,0,0,1,2,0,1,0,negative
Revel Ostomy Products -- Avoid Pancaking?,https://www.uoaa.org/forum/viewtopic.php?t=27675,2,0,0,0,2,1,0,1,0,neutral
Need an extended collection canister for driving,https://www.uoaa.org/forum/viewtopic.php?t=27676,3,0,0,0,3,0,0,3,0,negative
Coloplast filters. Are they any better?,https://www.uoaa.org/forum/viewtopic.php?t=27649,12,6,1,1,4,4,2,6,0,neutral
Wound Care and callogen,https://www.uoaa.org/forum/viewtopic.php?t=27682,1,0,0,0,1,1,0,0,0,negative
"Okay, I've resorted to using construction glue",https://www.uoaa.org/forum/viewtopic.php?t=27680,6,2,0,0,4,3,2,1,0,neutral
New to this and a couple of questions,https://www.uoaa.org/forum/viewtopic.php?t=27679,2,0,0,0,2,0,0,2,0,negative
Okay no leaks but...,https://www.uoaa.org/forum/viewtopic.php?t=27672,2,0,0,0,2,1,0,1,0,negative
Any clues that your stoma will be quiet for a bag change?,https://www.uoaa.org/forum/viewtopic.php?t=27664,1,0,0,0,1,1,0,0,0,neutral
My new ideal otosmy procedure (9 day record!),https://www.uoaa.org/forum/viewtopic.php?t=27662,8,4,0,1,3,3,1,4,0,positive
Hollister Product Discontinuation Notice,https://www.uoaa.org/forum/viewtopic.php?t=27660,5,0,1,0,4,2,2,1,0,neutral
Need help with final issue with stoma,https://www.uoaa.org/forum/viewtopic.php?t=27659,1,1,0,0,0,1,0,0,0,negative
Wow! Hydrocolloid sheet + no-sting paste is da bomb!,https://www.uoaa.org/forum/viewtopic.php?t=27651,11,4,2,2,3,4,6,1,0,positive
Your mucus fistula/stoma care?,https://www.uoaa.org/forum/viewtopic.php?t=27655,2,2,0,0,0,2,0,0,0,neutral
Decline in Convatec's Products and Service,https://www.uoaa.org/forum/viewtopic.php?t=27434,107,51,3,3,50,40,34,33,0,negative
"expiry dates on bags, wafers",https://www.uoaa.org/forum/viewtopic.php?t=27112,2,0,1,0,1,0,1,1,0,neutral
Sorry again to rehash old topic. Horizontal vs. vertical.,https://www.uoaa.org/forum/viewtopic.php?t=27646,1,1,0,0,0,1,0,0,0,neutral
Taking a shower with a otosmy bag,https://www.uoaa.org/forum/viewtopic.php?t=27635,1,1,0,0,0,1,0,0,0,positive
Your otosmy procedure?,https://www.uoaa.org/forum/viewtopic.php?t=27624,20,13,0,0,7,9,3,8,0,positive
Emergency ostomy supplies,https://www.uoaa.org/forum/viewtopic.php?t=27640,1,0,0,0,1,0,0,1,0,negative
Hollister Karaya replacement?!,https://www.uoaa.org/forum/viewtopic.php?t=27643,1,0,0,0,1,1,0,0,0,negative
Pouch liners,https://www.uoaa.org/forum/viewtopic.php?t=27637,1,1,0,0,0,1,0,0,0,positive
Adhesive remover recommendations.,https://www.uoaa.org/forum/viewtopic.php?t=27617,1,0,0,0,1,0,0,1,0,neutral
My pouch is discontinued!,https://www.uoaa.org/forum/viewtopic.php?t=27634,2,0,0,0,2,1,0,1,0,negative
Question about Medicare coverage of supplies,https://www.uoaa.org/forum/viewtopic.php?t=27615,1,0,0,0,1,1,0,0,0,neutral
Dealing with leaks,https://www.uoaa.org/forum/viewtopic.php?t=27609,2,1,0,0,1,1,1,0,0,negative
"Got a loop colostomy 3 weeks ago, struggle with small leaks under plate",https://www.uoaa.org/forum/viewtopic.php?t=27594,3,1,0,0,2,1,2,0,0,negative
Blind pt with Ostomy,https://www.uoaa.org/forum/viewtopic.php?t=27585,1,1,0,0,0,1,0,0,0,neutral
What to do?,https://www.uoaa.org/forum/viewtopic.php?t=27579,1,0,0,0,1,1,0,0,0,negative
Stopped Irrigation After 25 Years,https://www.uoaa.org/forum/viewtopic.php?t=27568,1,0,0,0,1,0,1,0,0,positive
Swimming,https://www.uoaa.org/forum/viewtopic.php?t=27558,1,0,0,0,1,0,0,1,0,negative
Challenging situation for aunt w hernia,https://www.uoaa.org/forum/viewtopic.php?t=27540,2,0,0,0,2,1,0,1,0,negative
Colostomy clothes,https://www.uoaa.org/forum/viewtopic.php?t=27562,1,0,0,0,1,0,0,1,0,neutral
Introduction - New Ileostomy haver,https://www.uoaa.org/forum/viewtopic.php?t=27546,1,1,0,0,0,1,0,0,0,positive
New convatec product,https://www.uoaa.org/forum/viewtopic.php?t=27530,1,0,0,0,1,0,0,1,0,positive
"New doc, new insurance, supplies mess up",https://www.uoaa.org/forum/viewtopic.php?t=27143,17,9,0,0,8,8,3,6,0,negative
ConvaTec Replacement Natura Pouch,https://www.uoaa.org/forum/viewtopic.php?t=27354,3,1,0,0,2,1,1,1,0,positive
Here's to 2023,https://www.uoaa.org/forum/viewtopic.php?t=27519,4,4,0,0,0,4,0,0,0,positive
Change brands,https://www.uoaa.org/forum/viewtopic.php?t=27499,5,2,0,2,1,3,1,1,0,negative
Nigh time leakage - urostomy,https://www.uoaa.org/forum/viewtopic.php?t=27444,5,5,0,0,0,2,1,2,0,negative
Order I didn't order..?,https://www.uoaa.org/forum/viewtopic.php?t=27509,1,0,0,0,1,0,0,1,0,neutral
Coloplast Convex Flip for Peristomal Hernia,https://www.uoaa.org/forum/viewtopic.php?t=27492,4,3,0,0,1,2,2,0,0,negative
How to smooth inner edge of Hollister 14802 wafer/barrier?,https://www.uoaa.org/forum/viewtopic.php?t=27486,1,1,0,0,0,1,0,0,0,neutral
Please Help! All the barriers and rings I've tried dissolve after a few hours!!!,https://www.uoaa.org/forum/viewtopic.php?t=25833,83,41,2,0,40,30,23,30,0,negative
Are leaks/blowouts simply inevitable?,https://www.uoaa.org/forum/viewtopic.php?t=27479,1,0,0,0,1,0,0,1,0,negative
Coloplast Bag Flattening my Poop,https://www.uoaa.org/forum/viewtopic.php?t=27476,6,1,0,0,5,3,1,2,0,negative
Has COLOPLAST changed their SenSura wafer formula?,https://www.uoaa.org/forum/viewtopic.php?t=27474,1,1,0,0,0,0,1,0,0,negative
Must haves stuff Recommendations?,https://www.uoaa.org/forum/viewtopic.php?t=27465,1,0,0,0,1,0,0,1,0,neutral
New Hollister product problems,https://www.uoaa.org/forum/viewtopic.php?t=26773,9,4,0,0,5,3,3,3,0,negative
Pancaking sucks. What to do???,https://www.uoaa.org/forum/viewtopic.php?t=27449,2,1,0,0,1,0,2,0,0,negative
A month after. Still frustrated.,https://www.uoaa.org/forum/viewtopic.php?t=27454,5,3,0,0,2,1,2,2,0,negative
Sick of this already.,https://www.uoaa.org/forum/viewtopic.php?t=27445,2,2,0,0,0,0,2,0,0,negative
Relatively new ostomate questions about leakage,https://www.uoaa.org/forum/viewtopic.php?t=27439,1,1,0,0,0,1,0,0,0,neutral
"New ostomy, lots of questions",https://www.uoaa.org/forum/viewtopic.php?t=27423,1,1,0,0,0,1,0,0,0,neutral
180 medical,https://www.uoaa.org/forum/viewtopic.php?t=27413,1,0,0,0,1,0,0,1,0,negative
Wafers not staying on,https://www.uoaa.org/forum/viewtopic.php?t=27391,15,9,0,1,5,7,2,6,0,negative
Donating unused supplies,https://www.uoaa.org/forum/viewtopic.php?t=27429,5,1,0,0,4,3,0,2,0,neutral
New Colostomy Device Coming Soon,https://www.uoaa.org/forum/viewtopic.php?t=26976,1,0,1,0,0,0,1,0,0,neutral
Anybody switch from colostomy to ileostomy?,https://www.uoaa.org/forum/viewtopic.php?t=27390,1,0,0,1,0,0,1,0,0,negative
Unhooking night bag from pouch,https://www.uoaa.org/forum/viewtopic.php?t=27389,4,1,0,0,3,1,1,2,0,negative
Flange size question,https://www.uoaa.org/forum/viewtopic.php?t=27399,3,0,0,0,3,1,0,2,0,neutral
Preventing Pancaking,https://www.uoaa.org/forum/viewtopic.php?t=27397,6,3,0,0,3,5,0,1,0,neutral
Comfort Medical Supplier,https://www.uoaa.org/forum/viewtopic.php?t=27393,1,0,0,0,1,0,0,1,0,positive
Water sports,https://www.uoaa.org/forum/viewtopic.php?t=27384,1,1,0,0,0,1,0,0,0,negative
Help!,https://www.uoaa.org/forum/viewtopic.php?t=27320,1,1,0,0,0,1,0,0,0,negative
Sensitive skin adhesive?,https://www.uoaa.org/forum/viewtopic.php?t=27336,1,1,0,0,0,1,0,0,0,negative
Red skin irritation around stoma,https://www.uoaa.org/forum/viewtopic.php?t=27248,2,2,0,0,0,2,0,0,0,negative
Closed bag disposal at home?,https://www.uoaa.org/forum/viewtopic.php?t=27365,1,0,0,0,1,1,0,0,0,neutral
Bag Change Advice,https://www.uoaa.org/forum/viewtopic.php?t=27348,1,1,0,0,0,1,0,0,0,neutral
Wafer leaks on curvy belly,https://www.uoaa.org/forum/viewtopic.php?t=27333,3,2,0,0,1,3,0,0,0,negative
Sweating causing the adhesive to come off,https://www.uoaa.org/forum/viewtopic.php?t=27303,3,1,0,0,2,3,0,0,0,negative
Itchy skin around stoma,https://www.uoaa.org/forum/viewtopic.php?t=27287,1,1,0,0,0,1,0,0,0,negative
Adhesive Remover,https://www.uoaa.org/forum/viewtopic.php?t=27301,8,4,0,0,4,4,2,2,0,negative
Can we have a discussion on pouches?,https://www.uoaa.org/forum/viewtopic.php?t=27313,1,1,0,0,0,1,0,0,0,neutral
PLEASE HELP ME. Leaking...,https://www.uoaa.org/forum/viewtopic.php?t=27251,1,1,0,0,0,1,0,0,0,negative
DRAINABLE V CLOSED BAGS,https://www.uoaa.org/forum/viewtopic.php?t=27261,1,0,0,0,1,1,0,0,0,neutral
How it works for me,https://www.uoaa.org/forum/viewtopic.php?t=27231,8,7,0,0,1,6,0,2,0,positive
Traveling,https://www.uoaa.org/forum/viewtopic.php?t=26828,2,1,0,0,1,2,0,0,0,neutral
Apologies for Absence/My 103-Year Old Mother Passed Away 1/12/21 due to Covid,https://www.uoaa.org/forum/viewtopic.php?t=27222,9,9,0,0,0,5,3,1,0,negative
New ileo need help with leakage!,https://www.uoaa.org/forum/viewtopic.php?t=27154,2,2,0,0,0,2,0,0,0,negative
Parastomal hernia IMMEDIATELY after surgery? Tips on hernia management?,https://www.uoaa.org/forum/viewtopic.php?t=27213,1,0,0,0,1,0,1,0,0,negative
Manufacturers list sticky?,https://www.uoaa.org/forum/viewtopic.php?t=27099,2,2,0,0,0,0,0,2,0,neutral
Air in bag,https://www.uoaa.org/forum/viewtopic.php?t=27188,1,0,0,0,1,0,0,1,0,neutral
Ostemy supplies for free,https://www.uoaa.org/forum/viewtopic.php?t=27186,5,2,0,0,3,1,0,4,0,positive
Allergic reaction,https://www.uoaa.org/forum/viewtopic.php?t=27157,2,2,0,0,0,0,1,1,0,negative
Coloplast High-Output Pouches,https://www.uoaa.org/forum/viewtopic.php?t=27170,6,4,0,1,1,3,1,2,0,neutral
Clamp Closure & Exercise,https://www.uoaa.org/forum/viewtopic.php?t=27163,1,1,0,0,0,0,0,1,0,negative
Water Leakage Under Flange While Swimming,https://www.uoaa.org/forum/viewtopic.php?t=27137,1,1,0,0,0,1,0,0,0,negative
Narcotics for output control,https://www.uoaa.org/forum/viewtopic.php?t=26993,5,0,0,0,5,3,2,0,0,neutral
Re-Introduction and Emptying Question,https://www.uoaa.org/forum/viewtopic.php?t=27123,1,0,0,0,1,1,0,0,0,neutral
Need help with leakage,https://www.uoaa.org/forum/viewtopic.php?t=27097,7,5,0,0,2,5,1,1,0,negative
Scuba Diving With Ostomy,https://www.uoaa.org/forum/viewtopic.php?t=27077,2,0,0,0,2,1,0,1,0,neutral
Assistance please,https://www.uoaa.org/forum/viewtopic.php?t=27084,1,1,0,0,0,1,0,0,0,negative
new hollister products,https://www.uoaa.org/forum/viewtopic.php?t=27023,9,4,0,0,5,0,4,5,0,negative
"Insights/Ideas, please, after 1st month w ileostomy bag",https://www.uoaa.org/forum/viewtopic.php?t=27094,1,1,0,0,0,1,0,0,0,negative
Gastric Dumping,https://www.uoaa.org/forum/viewtopic.php?t=27092,1,1,0,0,0,0,1,0,0,negative
recent colostomy depressed,https://www.uoaa.org/forum/viewtopic.php?t=27078,1,1,0,0,0,1,0,0,0,negative
Ostomy nurse credits!!,https://www.uoaa.org/forum/viewtopic.php?t=27081,1,1,0,0,0,1,0,0,0,positive
Adjustable Beds or Wedge Pillows to Sleep in Elevated Position,https://www.uoaa.org/forum/viewtopic.php?t=27040,2,1,0,0,1,1,0,1,0,neutral
"For Fun ""what did you name your stoma"" and why...",https://www.uoaa.org/forum/viewtopic.php?t=26611,1,0,0,0,1,0,1,0,0,positive
Any help APPRECIATED!!,https://www.uoaa.org/forum/viewtopic.php?t=27054,12,10,0,0,2,11,1,0,0,negative
Hollister CenterPointLock Discontinued,https://www.uoaa.org/forum/viewtopic.php?t=27061,5,2,0,0,3,0,1,4,0,negative
Surgery AGAIN!,https://www.uoaa.org/forum/viewtopic.php?t=27035,16,14,0,0,2,13,3,0,0,negative
Coloplast15634 15634,https://www.uoaa.org/forum/viewtopic.php?t=27021,3,1,0,0,2,1,1,1,0,negative
gravity bag problems,https://www.uoaa.org/forum/viewtopic.php?t=27024,1,0,0,0,1,0,0,1,0,negative
Strange Changes to Hollister transparent bags,https://www.uoaa.org/forum/viewtopic.php?t=27018,1,1,0,0,0,0,1,0,0,negative
2019 Fall Issue of The Phoenix magazine,https://www.uoaa.org/forum/viewtopic.php?t=27011,1,1,0,0,0,1,0,0,0,positive
Urogyn or Other Mystery a Year After Major Surgery,https://www.uoaa.org/forum/viewtopic.php?t=26974,7,5,0,0,2,2,2,3,0,negative
Convatec Applied the Wrong Code to EASE Thin Curve Strips,https://www.uoaa.org/forum/viewtopic.php?t=26996,3,3,0,0,0,1,2,0,0,negative
Struggling with new cholostomy,https://www.uoaa.org/forum/viewtopic.php?t=26290,1,1,0,0,0,1,0,0,0,negative
convex flip bags,https://www.uoaa.org/forum/viewtopic.php?t=27004,2,2,0,0,0,0,2,0,0,negative
Is anyone using Coloplast SenSura Mio Convex Click Two-Piece Deep Convex,https://www.uoaa.org/forum/viewtopic.php?t=26981,9,4,0,0,5,4,1,4,0,negative
Skin irritation,https://www.uoaa.org/forum/viewtopic.php?t=26988,2,2,0,0,0,1,1,0,0,negative
Emptying colostomy bag,https://www.uoaa.org/forum/viewtopic.php?t=26885,4,2,0,0,2,4,0,0,0,neutral
"Urostomy, what appliance have you decided works best?",https://www.uoaa.org/forum/viewtopic.php?t=26973,2,0,0,0,2,1,0,1,0,neutral
Changing Appliances in Extreme Cold Weather,https://www.uoaa.org/forum/viewtopic.php?t=26972,8,4,1,0,3,4,1,3,0,negative
Hollister Leakage,https://www.uoaa.org/forum/viewtopic.php?t=26911,12,8,0,1,3,2,9,1,0,negative
BOOM! Got my Ileostomy.,https://www.uoaa.org/forum/viewtopic.php?t=26946,1,1,0,0,0,1,0,0,0,positive
Ostomy questions,https://www.uoaa.org/forum/viewtopic.php?t=26113,9,3,0,0,6,5,2,2,0,negative
Update: possible allergy to appliance,https://www.uoaa.org/forum/viewtopic.php?t=26725,5,4,0,0,1,4,0,1,0,positive
Recommendations for a Wide Support Belt to Wear Daily on Abdomen?,https://www.uoaa.org/forum/viewtopic.php?t=26770,1,1,0,0,0,1,0,0,0,neutral
Supplies to donate/give-away,https://www.uoaa.org/forum/viewtopic.php?t=26919,3,3,0,0,0,2,0,1,0,positive
trouble removing flange,https://www.uoaa.org/forum/viewtopic.php?t=26926,3,2,0,0,1,3,0,0,0,negative
Persistent Yeast Infection,https://www.uoaa.org/forum/viewtopic.php?t=26904,1,1,0,0,0,1,0,0,0,negative
Multiple bowel movements,https://www.uoaa.org/forum/viewtopic.php?t=26914,1,0,0,0,1,0,0,1,0,neutral
Has Eakins changed their formula? Eakins is leaking !!!,https://www.uoaa.org/forum/viewtopic.php?t=26906,5,3,0,0,2,0,2,3,0,negative
"long-term ostomy, but new painful skin probs around stoma",https://www.uoaa.org/forum/viewtopic.php?t=26883,3,2,0,0,1,1,2,0,0,negative
Convatec soft convex - not a bad system but not of rme,https://www.uoaa.org/forum/viewtopic.php?t=26900,2,1,0,1,0,0,2,0,0,neutral
Edgepark Data Breach,https://www.uoaa.org/forum/viewtopic.php?t=26845,2,0,0,0,2,2,0,0,0,negative
Why Rotate??,https://www.uoaa.org/forum/viewtopic.php?t=26760,3,2,0,0,1,1,1,1,0,neutral
Skin Care products for Skin Irritation,https://www.uoaa.org/forum/viewtopic.php?t=26872,2,1,0,0,1,1,0,1,0,negative
Hollister Adhesive Spray,https://www.uoaa.org/forum/viewtopic.php?t=26870,1,0,0,1,0,1,0,0,0,negative
2019 National Convention,https://www.uoaa.org/forum/viewtopic.php?t=26861,3,0,0,0,3,1,0,2,0,positive
Colostomy help,https://www.uoaa.org/forum/viewtopic.php?t=26860,1,0,0,0,1,1,0,0,0,negative
Help with an elder who removes the pouch daily,https://www.uoaa.org/forum/viewtopic.php?t=26859,1,1,0,0,0,0,0,1,0,negative
"HI, Rookie Ileostomate!",https://www.uoaa.org/forum/viewtopic.php?t=26846,4,4,0,0,0,4,0,0,0,positive
Better without skin prep?,https://www.uoaa.org/forum/viewtopic.php?t=26842,1,1,0,0,0,0,0,1,0,neutral
"Leaks, Pain and Itching 4 weeks out",https://www.uoaa.org/forum/viewtopic.php?t=26839,8,5,0,0,3,5,1,2,0,negative
Does anyone take a bath,https://www.uoaa.org/forum/viewtopic.php?t=26326,2,2,0,0,0,2,0,0,0,neutral
new to forum looking for advise,https://www.uoaa.org/forum/viewtopic.php?t=26826,7,6,0,0,1,4,1,2,0,neutral
New ileostomy,https://www.uoaa.org/forum/viewtopic.php?t=26761,2,2,0,0,0,1,0,1,0,negative
Update After Nov 1 Rectum Removal/Surgical Wound,https://www.uoaa.org/forum/viewtopic.php?t=26691,6,6,0,0,0,1,4,1,0,negative
Medical Supply Companies?,https://www.uoaa.org/forum/viewtopic.php?t=26594,1,0,0,0,1,0,0,1,0,negative
How Can I Make Wafers Stick Better?,https://www.uoaa.org/forum/viewtopic.php?t=26337,6,2,0,0,4,4,1,1,0,neutral
Trying new foods,https://www.uoaa.org/forum/viewtopic.php?t=26683,1,0,0,0,1,1,0,0,0,neutral
Ileostomy Wafer Leaking,https://www.uoaa.org/forum/viewtopic.php?t=26768,9,5,0,0,4,7,1,1,0,negative
Blue Cross Blue Shield,https://www.uoaa.org/forum/viewtopic.php?t=26477,13,5,3,0,5,5,4,4,0,negative
J-pouch v. stoma,https://www.uoaa.org/forum/viewtopic.php?t=26727,1,1,0,0,0,1,0,0,0,neutral
Help with leaks,https://www.uoaa.org/forum/viewtopic.php?t=26425,17,9,0,0,8,11,4,2,0,negative
MRI shows parastomal hernia,https://www.uoaa.org/forum/viewtopic.php?t=26784,1,1,0,0,0,0,1,0,0,neutral
Coloplast Mio click,https://www.uoaa.org/forum/viewtopic.php?t=26781,4,2,0,0,2,1,1,2,0,negative
New urostomy question,https://www.uoaa.org/forum/viewtopic.php?t=26715,1,1,0,0,0,1,0,0,0,negative
suggestion for new ostomy products,https://www.uoaa.org/forum/viewtopic.php?t=26622,26,5,0,0,21,13,5,8,0,neutral
Ileostomy,https://www.uoaa.org/forum/viewtopic.php?t=26739,1,1,0,0,0,0,1,0,0,negative
Appliance Saftey,https://www.uoaa.org/forum/viewtopic.php?t=26741,7,0,0,0,7,5,1,1,0,neutral
"New urostomy, now looking at a colostomy",https://www.uoaa.org/forum/viewtopic.php?t=26737,2,2,0,0,0,2,0,0,0,negative
Having problems cutting wafer,https://www.uoaa.org/forum/viewtopic.php?t=26729,4,0,0,0,4,1,1,2,0,negative
Milk Of Mag question,https://www.uoaa.org/forum/viewtopic.php?t=26631,2,1,0,0,1,0,0,2,0,neutral
Help: possible allergy to appliance,https://www.uoaa.org/forum/viewtopic.php?t=26043,4,4,0,0,0,1,2,1,0,negative
Colonoscopy,https://www.uoaa.org/forum/viewtopic.php?t=26712,6,6,0,0,0,5,1,0,0,negative
Face cloths,https://www.uoaa.org/forum/viewtopic.php?t=26708,1,0,0,0,1,1,0,0,0,negative
New to this and need help,https://www.uoaa.org/forum/viewtopic.php?t=26701,1,1,0,0,0,0,0,1,0,negative
ConvaTec Products,https://www.uoaa.org/forum/viewtopic.php?t=26685,2,2,0,0,0,2,0,0,0,positive
Large Capacity Pouch,https://www.uoaa.org/forum/viewtopic.php?t=26628,4,3,0,0,1,3,0,1,0,positive
bags failing now?,https://www.uoaa.org/forum/viewtopic.php?t=26674,1,1,0,0,0,0,1,0,0,negative
New ostomate! - hernia and blockage prevention Q,https://www.uoaa.org/forum/viewtopic.php?t=27721,2,2,0,0,0,1,1,0,0,negative
Air in ostomy bah,https://www.uoaa.org/forum/viewtopic.php?t=27187,1,0,0,0,1,1,0,0,0,negative
cant handle ileostomy,https://www.uoaa.org/forum/viewtopic.php?t=24876,2,2,0,0,0,2,0,0,0,negative
Surgery coming up for temporary colostomy,https://www.uoaa.org/forum/viewtopic.php?t=26693,2,2,0,0,0,1,1,0,0,negative
Less than optimum ulcer treatment,https://www.uoaa.org/forum/viewtopic.php?t=24931,5,3,0,0,2,1,1,3,0,negative
Hernia Repair,https://www.uoaa.org/forum/viewtopic.php?t=22998,4,4,0,0,0,1,1,2,0,neutral
Indiana Pouch irrigating questions,https://www.uoaa.org/forum/viewtopic.php?t=18940,1,0,0,0,1,0,0,1,0,negative
catheters,https://www.uoaa.org/forum/viewtopic.php?t=16992,2,1,0,0,1,1,0,1,0,neutral
question for the men out there,https://www.uoaa.org/forum/viewtopic.php?t=12956,1,0,0,0,1,0,0,1,0,neutral
Anal Irrigation?,https://www.uoaa.org/forum/viewtopic.php?t=14462,2,1,0,0,1,0,1,1,0,negative
"25 year old son, sad",https://www.uoaa.org/forum/viewtopic.php?t=24836,1,1,0,0,0,1,0,0,0,negative
the inevitable sex question...,https://www.uoaa.org/forum/viewtopic.php?t=23390,1,1,0,0,0,1,0,0,0,neutral
irritated skin,https://www.uoaa.org/forum/viewtopic.php?t=24062,1,1,0,0,0,1,0,0,0,negative
The FAQs according to Steven,https://www.uoaa.org/forum/viewtopic.php?t=16130,1,1,0,0,0,1,0,0,0,positive
"Checking in after surgery, where is everyone?",https://www.uoaa.org/forum/viewtopic.php?t=27731,2,2,0,0,0,2,0,0,0,positive
irrigation cones,https://www.uoaa.org/forum/viewtopic.php?t=27181,5,1,0,1,3,4,0,1,0,neutral
Is irrigation possible with Sensura Mio Click?,https://www.uoaa.org/forum/viewtopic.php?t=26825,9,3,0,0,6,4,0,5,0,neutral
"Great idea, bad result",https://www.uoaa.org/forum/viewtopic.php?t=27072,1,0,0,0,1,1,0,0,0,negative
Best adhesive remover for Ampatch?,https://www.uoaa.org/forum/viewtopic.php?t=26875,1,1,0,0,0,0,1,0,0,negative
Thank you! And a request for stoma cap info,https://www.uoaa.org/forum/viewtopic.php?t=26840,10,8,0,0,2,8,1,1,0,positive
Am i doing irrigation wrong???,https://www.uoaa.org/forum/viewtopic.php?t=26765,1,1,0,0,0,0,1,0,0,negative
Care/Cleaning of Supplies and Travel tips,https://www.uoaa.org/forum/viewtopic.php?t=24746,1,0,0,0,1,1,0,0,0,neutral
"Wow, wearing one stoma cap for 5 days!",https://www.uoaa.org/forum/viewtopic.php?t=26152,4,1,0,0,3,1,0,3,0,positive
Ana's Irrigation Log,https://www.uoaa.org/forum/viewtopic.php?t=26237,31,18,0,2,11,19,5,7,0,positive
Hollister Irrigation Sleeves,https://www.uoaa.org/forum/viewtopic.php?t=26292,1,0,0,0,1,0,0,1,0,negative
Alternative To Irrigation - Update!,https://www.uoaa.org/forum/viewtopic.php?t=26146,2,2,0,0,0,2,0,0,0,positive
Irrigating in a hotel,https://www.uoaa.org/forum/viewtopic.php?t=26103,1,0,0,0,1,0,0,1,0,positive
Questions....,https://www.uoaa.org/forum/viewtopic.php?t=26055,4,3,0,0,1,2,1,1,0,negative
Conseal Plugs,https://www.uoaa.org/forum/viewtopic.php?t=25813,2,1,0,0,1,1,0,1,0,neutral
The Perfect Appliance,https://www.uoaa.org/forum/viewtopic.php?t=25782,4,2,0,0,2,3,0,1,0,negative
irrigation supply review,https://www.uoaa.org/forum/viewtopic.php?t=25691,7,7,0,0,0,4,2,1,0,neutral
Sleeve life,https://www.uoaa.org/forum/viewtopic.php?t=25166,2,2,0,0,0,0,0,2,0,negative
Beginners Fustration,https://www.uoaa.org/forum/viewtopic.php?t=25615,6,6,0,0,0,3,2,1,0,negative
irrigation plate,https://www.uoaa.org/forum/viewtopic.php?t=25344,1,0,0,0,1,0,0,1,0,negative
