topic_title,topic_url,total_posts,agree,disagree,mixed,unknown_stance,positive_posts,negative_posts,neutral_posts,unknown_sentiment_posts,topic_sentiment_final
Are all the ostomy supply vendors totally useless?,https://www.uoaa.org/forum/viewtopic.php?t=27638,7,2,1,0,4,1,1,5,0,negative
Hollister Product Discontinuation Notice,https://www.uoaa.org/forum/viewtopic.php?t=27660,6,0,1,0,5,3,2,1,0,neutral
Wow! Hydrocolloid sheet + no-sting paste is da bomb!,https://www.uoaa.org/forum/viewtopic.php?t=27651,2,1,0,0,1,1,1,0,0,positive
New guy. Sorry if it's an old ? Juicing or blending veggies?,https://www.uoaa.org/forum/viewtopic.php?t=27645,1,1,0,0,0,0,1,0,0,neutral
"To toilet designers out there, what we need",https://www.uoaa.org/forum/viewtopic.php?t=27657,1,1,0,0,0,0,1,0,0,neutral
Your mucus fistula/stoma care?,https://www.uoaa.org/forum/viewtopic.php?t=27655,2,2,0,0,0,1,0,1,0,neutral
Decline in Convatec's Products and Service,https://www.uoaa.org/forum/viewtopic.php?t=27434,107,50,3,3,51,41,32,34,0,negative
"expiry dates on bags, wafers",https://www.uoaa.org/forum/viewtopic.php?t=27112,4,1,1,0,2,0,1,3,0,neutral
Sorry again to rehash old topic. Horizontal vs. vertical.,https://www.uoaa.org/forum/viewtopic.php?t=27646,9,7,0,0,2,4,0,5,0,neutral
Your otosmy procedure?,https://www.uoaa.org/forum/viewtopic.php?t=27624,20,12,0,0,8,10,2,8,0,positive
Emergency ostomy supplies,https://www.uoaa.org/forum/viewtopic.php?t=27640,1,0,0,0,1,0,0,1,0,negative
Hollister Karaya replacement?!,https://www.uoaa.org/forum/viewtopic.php?t=27643,3,2,0,0,1,1,2,0,0,negative
My pouch is discontinued!,https://www.uoaa.org/forum/viewtopic.php?t=27634,4,1,0,0,3,2,1,1,0,negative
Question about Medicare coverage of supplies,https://www.uoaa.org/forum/viewtopic.php?t=27615,5,0,0,0,5,3,0,2,0,neutral
Stoma paste and barrier ring?,https://www.uoaa.org/forum/viewtopic.php?t=27595,1,1,0,0,0,1,0,0,0,neutral
Dealing with leaks,https://www.uoaa.org/forum/viewtopic.php?t=27609,14,6,0,0,8,8,3,3,0,negative
Blind pt with Ostomy,https://www.uoaa.org/forum/viewtopic.php?t=27585,1,0,0,0,1,1,0,0,0,neutral
Closed Pouch Static,https://www.uoaa.org/forum/viewtopic.php?t=27566,6,1,0,0,5,2,1,3,0,negative
Swimming,https://www.uoaa.org/forum/viewtopic.php?t=27558,1,0,0,0,1,0,0,1,0,negative
Just checking -- anything askew with supply chain?,https://www.uoaa.org/forum/viewtopic.php?t=27552,9,5,1,0,3,4,2,3,0,neutral
Colostomy clothes,https://www.uoaa.org/forum/viewtopic.php?t=27562,1,0,0,0,1,1,0,0,0,neutral
Introduction - New Ileostomy haver,https://www.uoaa.org/forum/viewtopic.php?t=27546,1,1,0,0,0,1,0,0,0,positive
The Phoenix Magazine Spring 2023,https://www.uoaa.org/forum/viewtopic.php?t=27542,1,1,0,0,0,1,0,0,0,positive
Stoma changing size,https://www.uoaa.org/forum/viewtopic.php?t=27520,1,1,0,0,0,1,0,0,0,negative
"New doc, new insurance, supplies mess up",https://www.uoaa.org/forum/viewtopic.php?t=27143,17,9,0,0,8,9,3,5,0,negative
ConvaTec Replacement Natura Pouch,https://www.uoaa.org/forum/viewtopic.php?t=27354,5,1,1,0,3,2,1,2,0,positive
Change brands,https://www.uoaa.org/forum/viewtopic.php?t=27499,2,2,0,0,0,1,1,0,0,negative
I've developed leaks at the bottom of my pouch,https://www.uoaa.org/forum/viewtopic.php?t=27507,1,0,0,0,1,0,0,1,0,negative
Very dry skin,https://www.uoaa.org/forum/viewtopic.php?t=27488,1,0,0,0,1,1,0,0,0,negative
Nigh time leakage - urostomy,https://www.uoaa.org/forum/viewtopic.php?t=27444,1,1,0,0,0,1,0,0,0,negative
Choices in barrier/wafer hole cutters?,https://www.uoaa.org/forum/viewtopic.php?t=27497,2,0,0,0,2,1,0,1,0,neutral
"Dissolving barrier/wafer. Help, please.",https://www.uoaa.org/forum/viewtopic.php?t=27489,6,2,0,0,4,4,1,1,0,negative
How to smooth inner edge of Hollister 14802 wafer/barrier?,https://www.uoaa.org/forum/viewtopic.php?t=27486,8,3,1,0,4,5,0,3,0,neutral
Please Help! All the barriers and rings I've tried dissolve after a few hours!!!,https://www.uoaa.org/forum/viewtopic.php?t=25833,83,40,2,0,41,33,22,28,0,negative
Are leaks/blowouts simply inevitable?,https://www.uoaa.org/forum/viewtopic.php?t=27479,2,0,1,0,1,1,0,1,0,negative
Has COLOPLAST changed their SenSura wafer formula?,https://www.uoaa.org/forum/viewtopic.php?t=27474,1,1,0,0,0,0,1,0,0,negative
Leakage through tail clip.,https://www.uoaa.org/forum/viewtopic.php?t=27269,3,0,0,0,3,1,0,2,0,negative
New Hollister product problems,https://www.uoaa.org/forum/viewtopic.php?t=26773,25,15,1,0,9,10,11,4,0,negative
"Mid-Atlantic Virtual Regional Ostomy Conference—Sat., 4-30-22",https://www.uoaa.org/forum/viewtopic.php?t=27398,9,7,0,0,2,5,0,4,0,neutral
"New ostomy, lots of questions",https://www.uoaa.org/forum/viewtopic.php?t=27423,2,2,0,0,0,1,1,0,0,neutral
Newbie first blowout - future advice?,https://www.uoaa.org/forum/viewtopic.php?t=27436,8,2,0,0,6,6,1,1,0,negative
180 medical,https://www.uoaa.org/forum/viewtopic.php?t=27413,1,0,0,0,1,0,0,1,0,negative
Wafers not staying on,https://www.uoaa.org/forum/viewtopic.php?t=27391,15,8,0,1,6,8,4,3,0,negative
New Colostomy Device Coming Soon,https://www.uoaa.org/forum/viewtopic.php?t=26976,1,0,1,0,0,0,1,0,0,neutral
Unhooking night bag from pouch,https://www.uoaa.org/forum/viewtopic.php?t=27389,4,1,0,0,3,1,1,2,0,negative
Flange size question,https://www.uoaa.org/forum/viewtopic.php?t=27399,3,0,0,0,3,1,0,2,0,neutral
Preventing Pancaking,https://www.uoaa.org/forum/viewtopic.php?t=27397,4,2,0,0,2,4,0,0,0,neutral
"new to board, first timer questions and one specific to bag size",https://www.uoaa.org/forum/viewtopic.php?t=27387,3,1,0,0,2,3,0,0,0,positive
Comfort Medical Supplier,https://www.uoaa.org/forum/viewtopic.php?t=27393,1,0,0,0,1,1,0,0,0,positive
Water sports,https://www.uoaa.org/forum/viewtopic.php?t=27384,4,2,0,0,2,3,1,0,0,negative
Sensitive skin adhesive?,https://www.uoaa.org/forum/viewtopic.php?t=27336,2,2,0,0,0,2,0,0,0,negative
Red skin irritation around stoma,https://www.uoaa.org/forum/viewtopic.php?t=27248,1,0,0,0,1,0,0,1,0,negative
Supply chain?,https://www.uoaa.org/forum/viewtopic.php?t=27357,6,5,0,0,1,1,0,5,0,neutral
Stoma growing and have to change barrier size. Asking advise.,https://www.uoaa.org/forum/viewtopic.php?t=27350,2,2,0,0,0,1,0,1,0,neutral
How to apply a one piece device?,https://www.uoaa.org/forum/viewtopic.php?t=27335,2,0,0,0,2,1,0,1,0,neutral
Wafer leaks on curvy belly,https://www.uoaa.org/forum/viewtopic.php?t=27333,2,1,0,0,1,2,0,0,0,negative
Sweating causing the adhesive to come off,https://www.uoaa.org/forum/viewtopic.php?t=27303,2,2,0,0,0,2,0,0,0,negative
New Problem That Has Me Completely Stumped!,https://www.uoaa.org/forum/viewtopic.php?t=27322,4,1,0,0,3,2,0,2,0,negative
DEFECTIVE PRODUCT FROM HOLLISTER,https://www.uoaa.org/forum/viewtopic.php?t=27325,12,5,2,0,5,6,3,3,0,negative
Itchy skin around stoma,https://www.uoaa.org/forum/viewtopic.php?t=27287,1,1,0,0,0,1,0,0,0,negative
Adhesive Remover,https://www.uoaa.org/forum/viewtopic.php?t=27301,1,1,0,0,0,1,0,0,0,negative
Can we have a discussion on pouches?,https://www.uoaa.org/forum/viewtopic.php?t=27313,9,6,0,0,3,6,1,2,0,neutral
My ostomy story - new member,https://www.uoaa.org/forum/viewtopic.php?t=26704,13,11,0,0,2,11,1,1,0,positive
Bag odour solved !,https://www.uoaa.org/forum/viewtopic.php?t=27317,1,0,1,0,0,1,0,0,0,positive
SERIOUS problem with wafer!!!!!,https://www.uoaa.org/forum/viewtopic.php?t=27304,4,2,0,0,2,1,2,1,0,negative
"Flush 1st, then drain bag",https://www.uoaa.org/forum/viewtopic.php?t=27294,2,1,0,0,1,1,0,1,0,positive
Allergic reaction,https://www.uoaa.org/forum/viewtopic.php?t=27156,2,2,0,0,0,1,1,0,0,negative
PLEASE HELP ME. Leaking...,https://www.uoaa.org/forum/viewtopic.php?t=27251,3,2,0,0,1,2,0,1,0,negative
DRAINABLE V CLOSED BAGS,https://www.uoaa.org/forum/viewtopic.php?t=27261,1,1,0,0,0,1,0,0,0,neutral
How it works for me,https://www.uoaa.org/forum/viewtopic.php?t=27231,8,7,0,0,1,6,0,2,0,positive
barrier ring / wafer,https://www.uoaa.org/forum/viewtopic.php?t=27252,6,4,0,0,2,4,1,1,0,negative
Loop Colostomy Stoma Too Big,https://www.uoaa.org/forum/viewtopic.php?t=27239,4,2,0,0,2,1,1,2,0,negative
Traveling,https://www.uoaa.org/forum/viewtopic.php?t=26828,1,0,0,0,1,1,0,0,0,neutral
Stoma bleeding,https://www.uoaa.org/forum/viewtopic.php?t=27199,2,0,0,0,2,2,0,0,0,negative
New ileo need help with leakage!,https://www.uoaa.org/forum/viewtopic.php?t=27154,2,2,0,0,0,2,0,0,0,negative
Best Enzymatic Odor Eliminator disappears,https://www.uoaa.org/forum/viewtopic.php?t=27209,2,1,0,0,1,1,1,0,0,negative
Manufacturers list sticky?,https://www.uoaa.org/forum/viewtopic.php?t=27099,2,2,0,0,0,0,0,2,0,neutral
medicare allowance,https://www.uoaa.org/forum/viewtopic.php?t=27149,1,0,0,0,1,0,0,1,0,negative
Air in bag,https://www.uoaa.org/forum/viewtopic.php?t=27188,1,0,0,0,1,0,0,1,0,neutral
My husband stoma keeps prolapsing,https://www.uoaa.org/forum/viewtopic.php?t=27182,1,1,0,0,0,0,0,1,0,negative
Ostemy supplies for free,https://www.uoaa.org/forum/viewtopic.php?t=27186,5,3,0,0,2,1,0,4,0,positive
Allergic reaction,https://www.uoaa.org/forum/viewtopic.php?t=27157,2,2,0,0,0,0,1,1,0,negative
Coloplast High-Output Pouches,https://www.uoaa.org/forum/viewtopic.php?t=27170,6,4,0,1,1,3,1,2,0,neutral
Clamp Closure & Exercise,https://www.uoaa.org/forum/viewtopic.php?t=27163,7,4,0,1,2,2,2,3,0,negative
Water Leakage Under Flange While Swimming,https://www.uoaa.org/forum/viewtopic.php?t=27137,1,0,0,0,1,0,0,1,0,negative
Narcotics for output control,https://www.uoaa.org/forum/viewtopic.php?t=26993,4,0,0,0,4,1,2,1,0,neutral
Ileostomy & hygiene/bathing habits,https://www.uoaa.org/forum/viewtopic.php?t=27140,2,1,0,0,1,2,0,0,0,neutral
hollister wafers,https://www.uoaa.org/forum/viewtopic.php?t=27145,10,3,1,0,6,6,1,3,0,negative
Wafers and water,https://www.uoaa.org/forum/viewtopic.php?t=27135,1,0,0,0,1,1,0,0,0,negative
Suppliers,https://www.uoaa.org/forum/viewtopic.php?t=27113,1,1,0,0,0,1,0,0,0,neutral
Need help with leakage,https://www.uoaa.org/forum/viewtopic.php?t=27097,2,2,0,0,0,2,0,0,0,negative
Scuba Diving With Ostomy,https://www.uoaa.org/forum/viewtopic.php?t=27077,1,0,0,0,1,0,0,1,0,neutral
Mildly annoying order,https://www.uoaa.org/forum/viewtopic.php?t=27100,3,3,0,0,0,1,1,1,0,neutral
Assistance please,https://www.uoaa.org/forum/viewtopic.php?t=27084,3,3,0,0,0,3,0,0,0,negative
new hollister products,https://www.uoaa.org/forum/viewtopic.php?t=27023,17,7,1,1,8,4,6,7,0,negative
"Insights/Ideas, please, after 1st month w ileostomy bag",https://www.uoaa.org/forum/viewtopic.php?t=27094,2,2,0,0,0,1,0,1,0,negative
Gastric Dumping,https://www.uoaa.org/forum/viewtopic.php?t=27092,1,0,0,0,1,0,1,0,0,negative
Anyone had order issues lately?,https://www.uoaa.org/forum/viewtopic.php?t=27091,2,1,0,0,1,1,0,1,0,neutral
Ostomy nurse credits!!,https://www.uoaa.org/forum/viewtopic.php?t=27081,1,1,0,0,0,1,0,0,0,positive
Adjustable Beds or Wedge Pillows to Sleep in Elevated Position,https://www.uoaa.org/forum/viewtopic.php?t=27040,1,1,0,0,0,1,0,0,0,negative
mixing equipment brands,https://www.uoaa.org/forum/viewtopic.php?t=27065,4,1,0,1,2,0,1,3,0,neutral
"For Fun ""what did you name your stoma"" and why...",https://www.uoaa.org/forum/viewtopic.php?t=26611,35,25,0,0,10,15,2,18,0,positive
Pouching after blockage,https://www.uoaa.org/forum/viewtopic.php?t=27064,1,1,0,0,0,1,0,0,0,negative
Any help APPRECIATED!!,https://www.uoaa.org/forum/viewtopic.php?t=27054,12,9,0,0,3,10,1,1,0,negative
Hollister CenterPointLock Discontinued,https://www.uoaa.org/forum/viewtopic.php?t=27061,5,2,0,0,3,0,1,4,0,negative
Surgery AGAIN!,https://www.uoaa.org/forum/viewtopic.php?t=27035,16,14,0,0,2,12,3,1,0,negative
Coloplast15634 15634,https://www.uoaa.org/forum/viewtopic.php?t=27021,1,0,0,0,1,1,0,0,0,negative
McKesson has changed its name to Adapt,https://www.uoaa.org/forum/viewtopic.php?t=27044,3,2,0,0,1,0,0,3,0,neutral
Writing out some Neuroses,https://www.uoaa.org/forum/viewtopic.php?t=27026,5,4,0,0,1,3,1,1,0,negative
gravity bag problems,https://www.uoaa.org/forum/viewtopic.php?t=27024,1,0,0,0,1,0,0,1,0,negative
Strange Changes to Hollister transparent bags,https://www.uoaa.org/forum/viewtopic.php?t=27018,4,4,0,0,0,0,4,0,0,negative
Leakage with my ostomy,https://www.uoaa.org/forum/viewtopic.php?t=27019,1,1,0,0,0,1,0,0,0,negative
Quadriplegic Preventing Blowouts,https://www.uoaa.org/forum/viewtopic.php?t=26573,1,1,0,0,0,0,0,1,0,negative
Pain immediately around stoma,https://www.uoaa.org/forum/viewtopic.php?t=26966,1,1,0,0,0,1,0,0,0,negative
Urogyn or Other Mystery a Year After Major Surgery,https://www.uoaa.org/forum/viewtopic.php?t=26974,1,1,0,0,0,0,1,0,0,negative
New Ostomy-Very Excited,https://www.uoaa.org/forum/viewtopic.php?t=26892,5,5,0,0,0,5,0,0,0,positive
Struggling with new cholostomy,https://www.uoaa.org/forum/viewtopic.php?t=26290,1,1,0,0,0,1,0,0,0,negative
Emptying colostomy bag,https://www.uoaa.org/forum/viewtopic.php?t=26885,39,5,0,0,34,33,2,4,0,neutral
"Urostomy, what appliance have you decided works best?",https://www.uoaa.org/forum/viewtopic.php?t=26973,8,3,0,0,5,3,2,3,0,neutral
Hollister Leakage,https://www.uoaa.org/forum/viewtopic.php?t=26911,12,9,0,0,3,2,7,3,0,negative
urostomy pouch and night time drainage bag,https://www.uoaa.org/forum/viewtopic.php?t=26949,1,0,0,0,1,1,0,0,0,negative
Need Help Replacing Discontinued Ostomy Product,https://www.uoaa.org/forum/viewtopic.php?t=26956,2,0,0,0,2,0,1,1,0,negative
Ostomy questions,https://www.uoaa.org/forum/viewtopic.php?t=26113,7,3,0,0,4,2,2,3,0,negative
Update: possible allergy to appliance,https://www.uoaa.org/forum/viewtopic.php?t=26725,5,3,0,0,2,4,0,1,0,positive
Supplies,https://www.uoaa.org/forum/viewtopic.php?t=26751,4,1,0,0,3,0,0,4,0,neutral
trouble removing flange,https://www.uoaa.org/forum/viewtopic.php?t=26926,12,7,1,1,3,6,3,3,0,negative
hollister deoderant,https://www.uoaa.org/forum/viewtopic.php?t=26916,9,3,1,0,5,5,1,3,0,neutral
Asking for advice,https://www.uoaa.org/forum/viewtopic.php?t=26834,1,0,0,0,1,1,0,0,0,neutral
Persistent Yeast Infection,https://www.uoaa.org/forum/viewtopic.php?t=26904,1,1,0,0,0,1,0,0,0,negative
What to do about sweat underneath flange,https://www.uoaa.org/forum/viewtopic.php?t=26888,1,0,0,1,0,1,0,0,0,negative
"long-term ostomy, but new painful skin probs around stoma",https://www.uoaa.org/forum/viewtopic.php?t=26883,2,1,0,0,1,1,1,0,0,negative
Convatec soft convex - not a bad system but not of rme,https://www.uoaa.org/forum/viewtopic.php?t=26900,3,2,0,1,0,0,2,1,0,negative
stoma swelling,https://www.uoaa.org/forum/viewtopic.php?t=26898,1,0,0,0,1,1,0,0,0,negative
pouch disposal in public restroom,https://www.uoaa.org/forum/viewtopic.php?t=26843,1,1,0,0,0,1,0,0,0,neutral
Why Rotate??,https://www.uoaa.org/forum/viewtopic.php?t=26760,4,1,0,0,3,4,0,0,0,neutral
brand new-pretty desperate for some encouragement -LONG,https://www.uoaa.org/forum/viewtopic.php?t=26639,2,2,0,0,0,2,0,0,0,negative
Water in conva Tec pouch,https://www.uoaa.org/forum/viewtopic.php?t=26876,5,3,0,0,2,3,1,1,0,negative
Skin Care products for Skin Irritation,https://www.uoaa.org/forum/viewtopic.php?t=26872,1,1,0,0,0,1,0,0,0,negative
Hollister Adhesive Spray,https://www.uoaa.org/forum/viewtopic.php?t=26870,2,1,0,1,0,1,1,0,0,negative
Colostomy help,https://www.uoaa.org/forum/viewtopic.php?t=26860,2,2,0,0,0,1,1,0,0,negative
Help with an elder who removes the pouch daily,https://www.uoaa.org/forum/viewtopic.php?t=26859,1,1,0,0,0,0,0,1,0,negative
Bag change output control,https://www.uoaa.org/forum/viewtopic.php?t=26831,1,1,0,0,0,1,0,0,0,negative
"Retracted stoma, bag repeatedly coming off",https://www.uoaa.org/forum/viewtopic.php?t=26849,2,2,0,0,0,1,1,0,0,negative
Where to get bags on weekends,https://www.uoaa.org/forum/viewtopic.php?t=26851,2,1,0,0,1,0,1,1,0,negative
Better without skin prep?,https://www.uoaa.org/forum/viewtopic.php?t=26842,1,1,0,0,0,1,0,0,0,positive
"Leaks, Pain and Itching 4 weeks out",https://www.uoaa.org/forum/viewtopic.php?t=26839,8,4,0,0,4,5,1,2,0,negative
Stoma Question.,https://www.uoaa.org/forum/viewtopic.php?t=26827,1,0,0,1,0,1,0,0,0,negative
New ileostomy,https://www.uoaa.org/forum/viewtopic.php?t=26761,1,1,0,0,0,1,0,0,0,negative
Update After Nov 1 Rectum Removal/Surgical Wound,https://www.uoaa.org/forum/viewtopic.php?t=26691,1,1,0,0,0,0,1,0,0,negative
How Can I Make Wafers Stick Better?,https://www.uoaa.org/forum/viewtopic.php?t=26337,3,1,0,0,2,3,0,0,0,neutral
Trying new foods,https://www.uoaa.org/forum/viewtopic.php?t=26683,1,0,0,0,1,1,0,0,0,neutral
Ileostomy Wafer Leaking,https://www.uoaa.org/forum/viewtopic.php?t=26768,1,0,0,0,1,1,0,0,0,negative
Blue Cross Blue Shield,https://www.uoaa.org/forum/viewtopic.php?t=26477,13,5,3,0,5,6,2,5,0,neutral
J-pouch v. stoma,https://www.uoaa.org/forum/viewtopic.php?t=26727,1,1,0,0,0,1,0,0,0,neutral
Help with leaks,https://www.uoaa.org/forum/viewtopic.php?t=26425,4,4,0,0,0,2,1,1,0,negative
Para stoma skin color,https://www.uoaa.org/forum/viewtopic.php?t=26785,2,2,0,0,0,1,0,1,0,neutral
Coloplast Mio click,https://www.uoaa.org/forum/viewtopic.php?t=26781,1,1,0,0,0,0,1,0,0,negative
wound vac post ileostomy,https://www.uoaa.org/forum/viewtopic.php?t=26776,1,0,0,0,1,1,0,0,0,negative
New urostomy question,https://www.uoaa.org/forum/viewtopic.php?t=26715,2,1,0,0,1,1,0,1,0,negative
suggestion for new ostomy products,https://www.uoaa.org/forum/viewtopic.php?t=26622,48,8,0,0,40,30,11,7,0,positive
Peristomal Skin Assessment Guide for Consumers,https://www.uoaa.org/forum/viewtopic.php?t=26752,3,3,0,0,0,3,0,0,0,positive
Odor control,https://www.uoaa.org/forum/viewtopic.php?t=26723,2,2,0,0,0,2,0,0,0,negative
"New urostomy, now looking at a colostomy",https://www.uoaa.org/forum/viewtopic.php?t=26737,2,2,0,0,0,2,0,0,0,negative
Having problems cutting wafer,https://www.uoaa.org/forum/viewtopic.php?t=26729,2,1,0,0,1,1,0,1,0,negative
3 weeks post op of rectum removal. Aching pain in penis after ejaculation.,https://www.uoaa.org/forum/viewtopic.php?t=26717,1,1,0,0,0,1,0,0,0,negative
Help: possible allergy to appliance,https://www.uoaa.org/forum/viewtopic.php?t=26043,3,3,0,0,0,1,0,2,0,negative
urostomy with sweating & swimming,https://www.uoaa.org/forum/viewtopic.php?t=26716,2,1,0,0,1,1,1,0,0,negative
Apparel alteration,https://www.uoaa.org/forum/viewtopic.php?t=26699,1,0,0,0,1,0,1,0,0,positive
Face cloths,https://www.uoaa.org/forum/viewtopic.php?t=26708,1,0,0,0,1,1,0,0,0,negative
New to this and need help,https://www.uoaa.org/forum/viewtopic.php?t=26701,1,0,0,0,1,0,0,1,0,negative
New to all this and need help!,https://www.uoaa.org/forum/viewtopic.php?t=26647,1,1,0,0,0,1,0,0,0,negative
ConvaTec Products,https://www.uoaa.org/forum/viewtopic.php?t=26685,1,1,0,0,0,1,0,0,0,positive
Large Capacity Pouch,https://www.uoaa.org/forum/viewtopic.php?t=26628,6,2,0,0,4,2,0,4,0,positive
Great tips,https://www.uoaa.org/forum/viewtopic.php?t=26644,1,1,0,0,0,0,0,1,0,positive
Post ileostomy reversal questions,https://www.uoaa.org/forum/viewtopic.php?t=26734,1,1,0,0,0,1,0,0,0,negative
What do I do with Ostomy Supplies I no longer need?,https://www.uoaa.org/forum/viewtopic.php?t=27166,4,3,0,0,1,2,0,2,0,neutral
cant handle ileostomy,https://www.uoaa.org/forum/viewtopic.php?t=24876,2,2,0,0,0,2,0,0,0,negative
Surgery coming up for temporary colostomy,https://www.uoaa.org/forum/viewtopic.php?t=26693,1,1,0,0,0,0,0,1,0,negative
My reversal not going so well now.,https://www.uoaa.org/forum/viewtopic.php?t=25936,1,1,0,0,0,0,1,0,0,negative
"Day 6 post-op need help, advice, support!",https://www.uoaa.org/forum/viewtopic.php?t=26235,1,1,0,0,0,1,0,0,0,negative
Supplies,https://www.uoaa.org/forum/viewtopic.php?t=26081,1,1,0,0,0,1,0,0,0,positive
Ileostomy Reversal,https://www.uoaa.org/forum/viewtopic.php?t=25077,1,0,0,0,1,1,0,0,0,neutral
Struggling,https://www.uoaa.org/forum/viewtopic.php?t=24943,1,1,0,0,0,1,0,0,0,negative
New To The Forum....My Story...,https://www.uoaa.org/forum/viewtopic.php?t=25552,1,1,0,0,0,1,0,0,0,negative
Making WOCN peers aware of veterans outreach network,https://www.uoaa.org/forum/viewtopic.php?t=24521,1,1,0,0,0,0,0,1,0,neutral
Less than optimum ulcer treatment,https://www.uoaa.org/forum/viewtopic.php?t=24931,5,3,0,0,2,1,2,2,0,negative
Continent diversion and colostomy irrigation,https://www.uoaa.org/forum/viewtopic.php?t=27059,3,1,0,0,2,1,0,2,0,neutral
Indiana Pouch w/Stomal Stenosis,https://www.uoaa.org/forum/viewtopic.php?t=23794,3,2,0,0,1,1,1,1,0,negative
brand new here & need help,https://www.uoaa.org/forum/viewtopic.php?t=21350,1,1,0,0,0,1,0,0,0,negative
question for the men out there,https://www.uoaa.org/forum/viewtopic.php?t=12956,2,0,0,0,2,0,0,2,0,neutral
frequent leaking around ostomy pouch,https://www.uoaa.org/forum/viewtopic.php?t=3712,3,1,0,0,2,1,1,1,0,negative
New travel regulations?,https://www.uoaa.org/forum/viewtopic.php?t=2917,1,0,0,0,1,0,0,1,0,negative
SP catheter vs Urostomy,https://www.uoaa.org/forum/viewtopic.php?t=2066,2,0,0,0,2,1,0,1,0,negative
the inevitable sex question...,https://www.uoaa.org/forum/viewtopic.php?t=23390,1,0,0,0,1,1,0,0,0,neutral
